employee,device,credential,event_time,shift_date,event_source,location,confidence,notes
,"#1 - H FULFILLMENT",0110187001,"2026-01-05 10:57:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110662956,"2026-01-05 10:57:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0812724624,"2026-01-05 10:57:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110657873,"2026-01-05 10:57:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0361160900,"2026-01-05 10:58:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110678891,"2026-01-05 10:58:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0548834526,"2026-01-05 10:58:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0361572962,"2026-01-05 10:58:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110678889,"2026-01-05 10:58:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0360154196,"2026-01-05 10:59:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110662942,"2026-01-05 10:59:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0361162048,"2026-01-05 11:00:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110657894,"2026-01-05 11:01:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0361572962,"2026-01-05 11:27:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110657873,"2026-01-05 11:27:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110662956,"2026-01-05 11:27:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0361160900,"2026-01-05 11:28:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0548834526,"2026-01-05 11:28:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110678891,"2026-01-05 11:28:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0812724624,"2026-01-05 11:28:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0360154196,"2026-01-05 11:28:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110187001,"2026-01-05 11:28:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110662942,"2026-01-05 11:29:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0361162048,"2026-01-05 11:29:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110678889,"2026-01-05 11:30:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110657894,"2026-01-05 11:30:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110676497,"2026-01-05 15:55:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0795641386,"2026-01-05 15:55:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0795648116,"2026-01-05 15:56:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0555490871,"2026-01-05 15:56:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110662956,"2026-01-05 15:56:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0360154196,"2026-01-05 15:56:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110187001,"2026-01-05 15:56:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0361572962,"2026-01-05 15:56:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0548834526,"2026-01-05 15:57:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0361160900,"2026-01-05 15:57:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110678889,"2026-01-05 15:57:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0906331144,"2026-01-05 15:57:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0795645680,"2026-01-05 15:58:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110657873,"2026-01-05 15:58:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110678891,"2026-01-05 15:58:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110657894,"2026-01-05 15:58:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110662942,"2026-01-05 15:58:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0361162048,"2026-01-05 16:01:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0795641386,"2026-01-05 19:59:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0555490871,"2026-01-05 19:59:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0795648116,"2026-01-05 20:00:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110676497,"2026-01-05 20:00:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0906331144,"2026-01-05 20:01:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0795645680,"2026-01-05 20:02:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0906331144,"2026-01-05 20:25:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0110676497,"2026-01-05 20:28:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0795648116,"2026-01-05 20:28:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0795641386,"2026-01-05 20:29:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0555490871,"2026-01-05 20:29:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0795645680,"2026-01-05 20:32:00",2026-01-05,device,,,
,"#1 - H FULFILLMENT",0795645680,"2026-01-06 01:24:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0795645680,"2026-01-06 01:26:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0906331144,"2026-01-06 01:26:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0795641386,"2026-01-06 01:28:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0795648116,"2026-01-06 01:28:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0555490871,"2026-01-06 01:28:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110676497,"2026-01-06 01:28:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110678889,"2026-01-06 06:11:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110657873,"2026-01-06 06:26:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0361162048,"2026-01-06 06:27:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0548834526,"2026-01-06 06:27:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110657894,"2026-01-06 06:27:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110678888,"2026-01-06 06:28:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0812724624,"2026-01-06 06:28:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110187001,"2026-01-06 06:28:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0360154196,"2026-01-06 06:28:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0361572962,"2026-01-06 06:28:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110678891,"2026-01-06 06:28:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110662942,"2026-01-06 06:28:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110662956,"2026-01-06 06:28:00",2026-01-06,device,,,
,"#2 - H FINISHING",0608489578,"2026-01-05 14:52:00",2026-01-05,device,,,
,"#2 - H FINISHING",0110656696,"2026-01-05 14:53:00",2026-01-05,device,,,
,"#2 - H FINISHING",0110656696,"2026-01-05 20:02:00",2026-01-05,device,,,
,"#2 - H FINISHING",0608489578,"2026-01-05 20:02:00",2026-01-05,device,,,
,"#2 - H FINISHING",0110656696,"2026-01-05 20:24:00",2026-01-05,device,,,
,"#2 - H FINISHING",0608489578,"2026-01-05 20:24:00",2026-01-05,device,,,
,"#2 - H FINISHING",0608489578,"2026-01-06 01:24:00",2026-01-06,device,,,
,"#2 - H FINISHING",0110656696,"2026-01-06 01:56:00",2026-01-06,device,,,
,"#3 - F MAIN ENTRY",0618195350,"2026-01-05 06:58:00",2026-01-05,device,,,
,"#3 - F MAIN ENTRY",0110668804,"2026-01-05 07:12:00",2026-01-05,device,,,
,"#3 - F MAIN ENTRY",0110668804,"2026-01-05 11:44:00",2026-01-05,device,,,
,"#3 - F MAIN ENTRY",0110668804,"2026-01-05 12:32:00",2026-01-05,device,,,
,"#3 - F MAIN ENTRY",0548835166,"2026-01-05 14:29:00",2026-01-05,device,,,
,"#3 - F MAIN ENTRY",0618195350,"2026-01-05 15:13:00",2026-01-05,device,,,
,"#3 - F MAIN ENTRY",0795656704,"2026-01-05 15:45:00",2026-01-05,device,,,
,"#3 - F MAIN ENTRY",0110668804,"2026-01-05 16:30:00",2026-01-05,device,,,
,"#3 - F MAIN ENTRY",0795656704,"2026-01-06 00:44:00",2026-01-06,device,,,
,"#3 - F MAIN ENTRY",0548835166,"2026-01-06 06:20:00",2026-01-06,device,,,
,"#5 - H PRESSROOM",0953150463,"2026-01-05 07:42:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0857392519,"2026-01-05 08:09:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0110668803,"2026-01-05 10:40:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0110656697,"2026-01-05 10:47:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0299993868,"2026-01-05 11:06:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0906354095,"2026-01-05 11:07:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0110656694,"2026-01-05 11:09:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0110676331,"2026-01-05 11:10:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0110678895,"2026-01-05 11:10:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0110661370,"2026-01-05 11:10:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0110676339,"2026-01-05 11:10:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0110656689,"2026-01-05 11:10:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0299994904,"2026-01-05 11:10:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0253516319,"2026-01-05 11:11:00",2026-01-05,device,,,
