Co Code,Batch ID,File #,Temp Dept,Temp Rate,Reg Hours,O/T Hours,Hours 3 Code,Hours 3 Amount,Hours 3 Code,Hours 3 Amount,Hours 3 Code,Hours 3 Amount,Earnings 3 Code,Earnings 3 Amount,Earnings 3 Code,Earnings 3 Amount,Earnings 3 Code,Earnings 3 Amount,Memo Code,Memo Amount
XCW,250906,104,,, 32.85, 0.00,,,,,,,,,,,,,,
XCW,250906,110,,, 35.43, 0.00,,,,,,,,,,,,,,
XCW,250906,113,,, 23.45, 0.00,,,,,,,,,,,,,,
XCW,250906,131,,, 40.00, 14.80,,,,,,,,,,,,,,
XCW,250906,132,,, 8.82, 0.00,,,,,,,,,,,,,,
XCW,250906,136,,, 40.00, 23.08,,,,,,,,,,,,,,
XCW,250906,138,,, 40.00, 8.69,,,,,,,,,,,,,,
XCW,250906,144,,, 31.93, 5.97,,,,,,,,,,,,,,
XCW,250906,150,,, 34.03, 0.00,,,,,,,,,,,,,,
XCW,250906,159,,, 34.02, 0.00,,,,,,,,,,,,,,
XCW,250906,167,,, 7.55, 0.00,,,,,,,,,,,,,,
XCW,250906,169,,, 17.30, 0.00,,,,,,,,,,,,,,
XCW,250906,177,,, 40.00, 3.80,,,,,,,,,,,,,,
XCW,250906,186,,, 40.00, 2.36,,,,,,,,,,,,,,
XCW,250906,193,,, 40.00, 11.26,,,,,,,,,,,,,,
XCW,250906,199,,, 37.76, 0.00,,,,,,,,,,,,,,
XCW,250906,200,,, 37.58, 0.00,,,,,,,,,,,,,,
XCW,250906,208,,, 34.85, 4.53,,,,,,,,,,,,,,
XCW,250906,212,,, 40.00, 25.73,,,,,,,,,,,,,,
XCW,250906,226,,, 38.36, 0.00,,,,,,,,,,,,,,
XCW,250906,243,,, 33.46, 0.00,,,,,,,,,,,,,,
XCW,250906,259,,, 40.00, 23.07,,,,,,,,,,,,,,
XCW,250906,266,,, 35.09, 5.18,,,,,,,,,,,,,,
XCW,250906,279,,, 40.00, 13.86,,,,,,,,,,,,,,
XCW,250906,280,,, 23.33, 0.00,,,,,,,,,,,,,,
XCW,250906,282,,, 37.91, 0.00,,,,,,,,,,,,,,
XCW,250906,289,,, 33.54, 0.00,,,,,,,,,,,,,,
XCW,250906,293,,, 32.53, 0.00,,,,,,,,,,,,,,
XCW,250906,298,,, 34.48, 0.00,,,,,,,,,,,,,,
XCW,250906,304,,, 34.60, 0.00,,,,,,,,,,,,,,
XCW,250906,307,,, 40.00, 8.57,,,,,,,,,,,,,,
XCW,250906,316,,, 40.00, 16.19,,,,,,,,,,,,,,
XCW,250906,328,,, 40.00, 14.55,,,,,,,,,,,,,,
XCW,250906,331,,, 37.70, 0.00,,,,,,,,,,,,,,
XCW,250906,335,,, 37.09, 0.00,,,,,,,,,,,,,,
XCW,250906,353,,, 31.10, 4.85,,,,,,,,,,,,,,
XCW,250906,358,,, 40.00, 2.23,,,,,,,,,,,,,,
XCW,250906,360,,, 34.15, 0.00,,,,,,,,,,,,,,
XCW,250906,369,,, 36.85, 0.00,,,,,,,,,,,,,,
XCW,250906,374,,, 40.00, 14.56,,,,,,,,,,,,,,
XCW,250906,381,,, 25.03, 0.00,,,,,,,,,,,,,,
XCW,250906,391,,, 32.38, 9.88,,,,,,,,,,,,,,
XCW,250906,395,,, 29.12, 0.00,,,,,,,,,,,,,,
XCW,250906,398,,, 34.37, 7.27,,,,,,,,,,,,,,
XCW,250906,400,,, 36.87, 4.40,,,,,,,,,,,,,,
XCW,250906,405,,, 33.80, 6.07,,,,,,,,,,,,,,
XCW,250906,423,,, 38.84, 3.83,,,,,,,,,,,,,,
XCW,250906,425,,, 40.00, 25.72,,,,,,,,,,,,,,
XCW,250906,431,,, 26.31, 6.23,,,,,,,,,,,,,,
XCW,250906,432,,, 34.22, 0.00,,,,,,,,,,,,,,
XCW,250906,434,,, 37.64, 0.00,,,,,,,,,,,,,,
XCW,250906,440,,, 25.20, 0.00,,,,,,,,,,,,,,
XCW,250906,449,,, 40.00, 25.30,,,,,,,,,,,,,,
XCW,250906,453,,, 33.50, 0.00,,,,,,,,,,,,,,
XCW,250906,73,,, 24.02, 0.00,,,,,,,,,,,,,,
XCW,250906,75,,, 20.40, 0.00,,,,,,,,,,,,,,
XCW,250906,80,,, 40.00, 0.55,,,,,,,,,,,,,,
XCW,250906,84,,, 36.77, 0.00,,,,,,,,,,,,,,
XCW,250906,88,,, 40.00, 5.15,,,,,,,,,,,,,,
XCW,250906,89,,, 32.20, 0.00,,,,,,,,,,,,,,
XCW,250906,90,,, 34.15, 0.00,,,,,,,,,,,,,,
XCW,250906,96,,, 40.00, 0.22,,,,,,,,,,,,,,
XCW,250906,99,,, 29.31, 5.97,,,,,,,,,,,,,,
XCW,250906,101,,, 33.99, 0.00,,,,,,,,,,,,,,
XCW,250906,100,,, 33.61, 0.00,,,,,,,,,,,,,,
