ID,employee_external_id,punch_time
,391,9/8/25 5:58
,391,9/8/25 10:53
,391,9/8/25 11:30
,391,9/8/25 15:53
,391,9/9/25 5:57
,391,9/9/25 10:54
,391,9/9/25 11:29
,391,9/9/25 17:54
,391,9/10/25 5:58
,391,9/10/25 10:54
,391,9/10/25 11:30
,391,9/10/25 17:30
,391,9/11/25 5:58
,391,9/11/25 10:55
,391,9/11/25 11:31
,391,9/11/25 17:55
,391,9/12/25 6:03
,391,9/12/25 10:55
,391,9/12/25 11:32
,391,9/12/25 17:54
,90,9/8/25 5:48
,90,9/8/25 11:09
,90,9/8/25 11:35
,90,9/8/25 14:24
,90,9/9/25 5:52
,90,9/9/25 11:04
,90,9/9/25 11:32
,90,9/9/25 14:24
,90,9/10/25 5:50
,90,9/10/25 11:04
,90,9/10/25 11:33
,90,9/10/25 14:24
,90,9/11/25 5:50
,90,9/11/25 11:05
,90,9/11/25 11:35
,90,9/11/25 14:24
,90,9/12/25 5:49
,90,9/12/25 10:00
,16,9/8/25 5:11
,16,9/8/25 10:56
,16,9/8/25 11:30
,16,9/8/25 16:09
,16,9/9/25 5:09
,16,9/9/25 10:56
,16,9/9/25 11:31
,16,9/9/25 16:01
,16,9/10/25 5:09
,16,9/10/25 10:56
,16,9/10/25 11:31
,16,9/10/25 16:10
,16,9/11/25 5:14
,16,9/11/25 10:55
,16,9/11/25 11:31
,16,9/11/25 16:10
,16,9/12/25 5:13
,16,9/12/25 10:55
,100,9/8/25 5:48
,100,9/8/25 14:13
,100,9/9/25 5:48
,100,9/9/25 14:19
,100,9/10/25 5:50
,100,9/10/25 14:06
,100,9/11/25 5:51
,100,9/11/25 15:19
,100,9/12/25 5:49
,100,9/12/25 14:19
,431,9/8/25 6:24
,431,9/8/25 11:12
,431,9/8/25 11:37
,431,9/8/25 15:10
,431,9/9/25 6:28
,431,9/9/25 11:06
,442,9/8/25 6:10
,442,9/8/25 16:17
,442,9/9/25 6:10
,442,9/9/25 16:12
,442,9/10/25 6:08
,442,9/10/25 16:46
,442,9/11/25 6:08
,442,9/11/25 16:29
,442,9/12/25 6:09
,442,9/12/25 15:54
,369,9/8/25 7:10
,369,9/8/25 16:06
,369,9/9/25 7:07
,369,9/9/25 15:52
,369,9/10/25 7:09
,369,9/10/25 16:46
,369,9/11/25 7:07
,369,9/11/25 16:10
,369,9/12/25 7:08
,369,9/12/25 11:09
,369,9/12/25 11:42
,369,9/12/25 15:54
,132,9/9/25 6:39
,132,9/9/25 10:56
,132,9/10/25 6:41
,132,9/10/25 11:01
,132,9/11/25 6:44
,132,9/11/25 11:04
,131,9/8/25 15:00
,131,9/9/25 1:33
,131,9/9/25 15:13
,131,9/10/25 1:25
,131,9/10/25 15:24
,131,9/11/25 1:33
,131,9/11/25 15:18
,131,9/12/25 1:33
,304,9/8/25 6:22
,304,9/8/25 11:07
,304,9/8/25 11:32
,304,9/8/25 15:03
,304,9/9/25 6:24
,304,9/9/25 11:02
,304,9/9/25 11:32
,304,9/9/25 15:01
,304,9/10/25 6:23
,304,9/10/25 11:05
,304,9/10/25 11:31
,304,9/10/25 15:01
,304,9/11/25 6:22
,304,9/11/25 11:04
,304,9/11/25 11:32
,304,9/11/25 15:02
,304,9/12/25 6:24
,304,9/12/25 11:02
,304,9/12/25 11:34
,304,9/12/25 15:00
,378,9/8/25 6:15
,378,9/8/25 11:50
,378,9/8/25 12:15
,378,9/8/25 14:45
,378,9/9/25 6:24
,378,9/9/25 10:49
,378,9/9/25 11:23
,378,9/9/25 14:44
,378,9/10/25 6:14
,378,9/10/25 11:14
,378,9/10/25 11:46
,378,9/10/25 14:39
,378,9/11/25 6:21
,378,9/11/25 11:40
,378,9/11/25 12:21
,378,9/11/25 14:45
,378,9/12/25 8:53
,378,9/12/25 13:52
,104,9/8/25 6:15
,104,9/8/25 14:34
,104,9/9/25 6:18
,104,9/9/25 14:34
,104,9/10/25 6:16
,104,9/10/25 14:37
,104,9/11/25 6:19
,104,9/11/25 14:56
,104,9/12/25 6:16
,104,9/12/25 10:33
,138,9/8/25 7:38
,138,9/8/25 18:31
,138,9/9/25 7:13
,138,9/9/25 18:38
,138,9/10/25 7:30
,138,9/10/25 19:01
,138,9/11/25 7:26
,138,9/11/25 17:22
,138,9/12/25 7:46
,138,9/12/25 18:25
,328,9/8/25 6:00
,328,9/8/25 10:56
,328,9/8/25 11:30
,328,9/8/25 15:25
,328,9/9/25 5:57
,328,9/9/25 10:56
,328,9/9/25 11:30
,328,9/9/25 17:56
,328,9/10/25 5:59
,328,9/10/25 10:55
,328,9/10/25 11:30
,328,9/10/25 17:32
,328,9/11/25 6:00
,328,9/11/25 10:57
,328,9/11/25 11:31
,328,9/11/25 17:55
,328,9/12/25 6:00
,328,9/12/25 10:57
,328,9/12/25 11:30
,328,9/12/25 17:54
,25,9/8/25 5:59
,25,9/8/25 11:07
,25,9/8/25 11:21
,25,9/8/25 15:18
,25,9/9/25 5:55
,25,9/9/25 10:43
,25,9/9/25 11:08
,25,9/9/25 14:27
,25,9/10/25 5:59
,25,9/10/25 10:57
,25,9/10/25 11:41
,25,9/10/25 14:24
,25,9/11/25 5:53
,25,9/11/25 10:54
,25,9/11/25 11:26
,25,9/11/25 14:21
,25,9/12/25 6:06
,25,9/12/25 14:44
,12,9/8/25 6:26
,12,9/8/25 11:00
,12,9/8/25 11:27
,12,9/8/25 14:58
,12,9/9/25 6:24
,12,9/9/25 11:13
,12,9/9/25 11:29
,12,9/9/25 14:59
,12,9/10/25 6:28
,12,9/10/25 11:11
,12,9/10/25 11:30
